x		y		w		h
1265	2033	23		25		
199		2033	71		31		
1377	2026	40		32		
1295	2026	79		37		
1158	2026	103		32		
817		2026	170		32		
664		2026	24		32		
484		2026	176		32		
341		2026	134		37		
286		2026	49		32		
993		2025	161		38		
692		2025	118		33		
1284	1979	63		25		
1233	1979	47		25		
434		1979	108		30		
1351	1972	65		32		
1127	1972	103		32		
1039	1972	86		38		
967		1972	67		32		
758		1972	109		32		
715		1972	40		32		
585		1972	129		32		
544		1972	40		32		
241		1972	191		32		
199		1972	40		32		
870		1971	93		33		
1246	1924	48		25		
415		1921	185		33		
1295	1917	122		38		
1058	1917	23		32		
905		1917	152		32		
659		1917	243		37		
602		1917	56		32		
1082	1916	163		38		
331		1916	83		33		
247		1916	83		33		
867		1869	24		25		
361		1869	24		25		
199		1866	35		28		
894		1862	46		32		
640		1862	162		32		
598		1862	40		32		
387		1862	210		32		
235		1862	39		32		
943		1860	90		41		
804		1860	61		41		
278		1860	81		41		
807		1814	24		25		
1013	1807	291		38		
832		1807	88		32		
355		1807	309		38		
200		1807	61		32		
1305	1805	110		41		
921		1805	90		41		
665		1805	142		41		
263		1805	89		41		
1393	1759	24		25		
1074	1759	47		25		
578		1759	24		25		
1125	1752	77		32		
988		1752	85		32		
948		1752	39		32		
783		1752	163		37		
275		1752	195		37		
199		1752	74		32		
1203	1751	108		39		
604		1751	81		33		
1314	1750	78		41		
689		1750	89		41		
474		1750	103		41		
282		1698	253		32		
200		1698	82		35		
1324	1696	91		41		
846		1696	478		41		
756		1696	89		41		
536		1696	219		41		
906		1643	511		38		
200		1643	705		38		
953		1588	464		38		
815		1588	137		37		
248		1588	566		32		
870		1540	47		25		
845		1540	23		24		
466		1540	38		24		
298		1540	46		25		
1187	1537	34		28		
1222	1533	39		32		
918		1533	154		32		
702		1533	140		38		
507		1533	96		37		
346		1533	118		32		
201		1533	95		37		
606		1532	95		38		
1265	1531	89		41		
1076	1531	109		41		
1288	1478	129		37		
199		1476	1086	41		
1242	1431	63		30		
751		1431	23		25		
393		1431	63		30		
1308	1424	109		38		
1144	1424	96		32		
1090	1424	53		32		
992		1424	97		32		
936		1424	53		32		
777		1424	158		37		
631		1424	116		38		
588		1424	39		32		
459		1424	127		37		
199		1424	192		32		
557		1376	23		25		
371		1376	23		25		
199		1376	63		31		
1306	1369	111		32		
1264	1369	40		32		
1118	1369	142		38		
899		1369	60		37		
728		1369	166		37		
585		1369	137		37		
397		1369	61		32		
962		1368	152		38		
463		1367	89		41		
267		1367	101		41		
1310	1321	38		24		
488		1321	118		30		
447		1321	40		25		
278		1321	22		24		
1181	1318	127		33		
894		1318	75		28		
1351	1314	65		31		
971		1314	209		38		
772		1314	121		37		
661		1314	110		37		
607		1314	52		32		
304		1314	142		38		
199		1314	78		32		
1129	1266	47		25		
1177	1259	240		37		
1019	1259	109		32		
842		1259	176		38		
381		1259	460		38		
248		1259	132		32		
716		1211	63		25		
464		1211	38		25		
918		1204	108		38		
675		1204	39		32		
506		1204	168		37		
241		1204	220		37		
199		1204	40		32		
781		1203	136		38		
1257	1156	63		25		
1002	1156	37		24		
624		1156	22		24		
600		1156	23		25		
1042	1149	214		37		
889		1149	111		32		
648		1149	176		38		
465		1149	133		38		
201		1149	109		32		
1321	1148	96		38		
824		1148	63		32		
311		1148	152		38		
1366	1102	51		30		
850		1102	75		25		
1219	1095	143		32		
1164	1095	52		32		
927		1095	69		32		
688		1095	157		35		
572		1095	102		32		
516		1095	53		32		
417		1095	97		32		
360		1095	53		32		
199		1095	158		37		
1000	1094	161		38		
1392	1047	23		25		
1211	1047	62		30		
1081	1047	47		25		
942		1047	35		25		
200		1047	22		24		
1278	1040	112		32		
1134	1040	72		31		
981		1040	96		32		
900		1040	39		32		
827		1040	69		32		
624		1040	198		35		
497		1040	124		32		
442		1040	52		32		
364		1040	76		37		
309		1040	52		32		
228		1040	79		37		
489		992		22		24		
1257	985		158		37		
1000	985		256		38		
513		985		486		38		
248		985		239		38		
917		949		15		16		
474		937		96		30		
448		937		25		25		
281		937		51		30		
199		937		80		25		
1043	930		116		32		
937		930		107		32		
734		930		104		32		
692		930		40		32		
571		930		120		32		
332		930		115		37		
1161	928		92		41		
840		928		85		41		
820		875		382		37		
642		875		177		32		
521		875		119		38		
480		875		39		32		
201		875		278		32		
1324	873		91		41		
1204	873		120		41		
979		821		436		38		
691		821		287		38		
379		821		158		37		
199		821		178		38		
538		820		152		38		
807		773		23		24		
588		773		63		30		
653		770		154		28		
1351	766		65		32		
1134	766		216		38		
1110	766		22		31		
1000	766		108		37		
831		766		167		37		
470		766		115		32		
317		766		150		38		
248		766		67		32		
747		718		75		31		
824		711		137		32		
650		711		95		37		
535		711		113		37		
447		711		85		37		
199		711		246		32		
963		710		193		33		
1366	663		51		25		
716		663		23		25		
567		663		46		25		
272		663		51		25		
1143	656		221		37		
1028	656		113		32		
918		656		109		32		
742		656		174		37		
616		656		100		37		
325		656		241		32		
199		656		71		32		
1150	608		63		25		
988		605		155		33		
321		605		129		28		
1306	601		110		32		
1220	601		81		32		
923		601		60		37		
614		601		164		32		
569		601		39		32		
455		601		109		37		
201		601		115		32		
783		600		131		36		
1052	554		36		25		
655		554		23		24		
586		554		62		25		
972		551		75		28		
1357	547		59		32		
1243	547		108		38		
1196	547		39		31		
1095	547		97		38		
857		547		109		37		
684		547		167		37		
390		547		191		32		
330		547		55		32		
200		547		124		32		
1361	499		56		30		
539		499		47		25		
1182	492		176		38		
1139	492		39		32		
1022	492		113		32		
863		492		154		35		
761		492		86		37		
717		492		39		32		
591		492		122		38		
494		492		40		32		
366		492		125		32		
201		492		162		32		
1368	444		48		25		
1221	444		145		30		
629		444		51		30		
779		441		160		28		
1072	437		148		32		
941		437		129		32		
682		437		97		38		
293		437		335		38		
247		436		44		33		
970		389		23		25		
806		389		62		30		
367		389		23		25		
343		389		23		25		
995		382		177		38		
652		382		152		37		
595		382		55		32		
508		382		85		32		
392		382		113		38		
199		382		142		32		
1172	381		71		33		
871		381		99		33		
1381	334		36		25		
1321	334		55		30		
936		334		23		25		
909		334		23		25		
751		334		37		24		
1165	327		152		37		
1107	327		53		32		
965		327		138		37		
795		327		108		38		
629		327		116		32		
529		327		96		32		
486		327		39		32		
377		327		105		32		
330		327		41		32		
199		327		127		37		
775		280		47		25		
900		277		99		33		
389		277		61		28		
1356	273		59		37		
1195	273		154		37		
1166	273		24		32		
1050	273		111		37		
1014	273		31		31		
827		273		69		32		
662		273		109		32		
635		273		23		32		
455		273		176		32		
199		273		183		38		
1254	225		118		30		
1223	225		25		25		
950		225		46		25		
330		225		56		30		
1377	218		40		32		
1109	218		109		32		
1001	218		103		32		
852		218		91		32		
698		218		149		32		
391		218		133		37		
248		218		77		32		
530		217		161		38		
1393	148		25		31		
